"filename", "language", "Python", "pip requirements", "Properties", "comment", "blank", "total"
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\models\__init__.py", "Python", 2, 0, 0, 0, 0, 2
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\models\blocks.py", "Python", 72, 0, 0, 0, 10, 82
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\generator\models\rule.py", "Python", 27, 0, 0, 0, 5, 32
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\admin.py", "Python", 12, 0, 0, 1, 5, 18
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\api_views.py", "Python", 246, 0, 0, 17, 44, 307
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\pagination.py", "Python", 4, 0, 0, 0, 2, 6
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\serializers.py", "Python", 38, 0, 0, 0, 7, 45
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\api\urls.py", "Python", 15, 0, 0, 1, 6, 22
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\apps.py", "Python", 4, 0, 0, 0, 3, 7
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0001_initial.py", "Python", 63, 0, 0, 1, 7, 71
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0002_alter_choice_student.py", "Python", 13, 0, 0, 1, 6, 20
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0003_alter_choice_student.py", "Python", 14, 0, 0, 1, 6, 21
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0004_alter_student_room.py", "Python", 15, 0, 0, 1, 6, 22
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0005_auto_20221222_1115.py", "Python", 18, 0, 0, 1, 6, 25
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0006_alter_student_room.py", "Python", 14, 0, 0, 1, 6, 21
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\0007_student_max_reserves.py", "Python", 12, 0, 0, 1, 6, 19
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\__init__.py", "Python", 4, 0, 0, 0, 0, 4
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\choices.py", "Python", 17, 0, 0, 7, 6, 30
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\options.py", "Python", 25, 0, 0, 0, 5, 30
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\requirement.py", "Python", 33, 0, 0, 1, 8, 42
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\students\models\students.py", "Python", 25, 0, 0, 2, 4, 31
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\admin.py", "Python", 3, 0, 0, 1, 3, 7
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\api_views.py", "Python", 52, 0, 0, 0, 11, 63
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\serializers.py", "Python", 11, 0, 0, 0, 6, 17
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\api\urls.py", "Python", 8, 0, 0, 0, 6, 14
"c:\Users\User\Documents\Projects\Option blocks\website\server\apps\users\apps.py", "Python", 4, 0, 0, 0, 3, 7
