"filename", "language", "TypeScript", "XML", "Vue", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\error\PermissionDeniedView.vue", "Vue", 0, 0, 14, 0, 0, 2, 16
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\error\ResourceNotFound.vue", "Vue", 0, 0, 14, 0, 0, 3, 17
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\error\ServerErrorView.vue", "Vue", 0, 0, 14, 0, 0, 3, 17
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\gen\GeneratorTestView.vue", "Vue", 0, 0, 87, 0, 2, 14, 103
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\gen\GeneratorView.vue", "Vue", 0, 0, 97, 0, 0, 18, 115
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\AvailableOptionsView.vue", "Vue", 0, 0, 278, 0, 12, 40, 330
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\ChoicesView.vue", "Vue", 0, 0, 304, 0, 16, 33, 353
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\RoomEditView.vue", "Vue", 0, 0, 466, 0, 14, 28, 508
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\RoomJoinView.vue", "Vue", 0, 0, 110, 0, 4, 10, 124
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\RuleEditorView.vue", "Vue", 0, 0, 194, 0, 2, 16, 212
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\StudentAccessView.vue", "Vue", 0, 0, 118, 0, 3, 17, 138
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\StudentsView.vue", "Vue", 0, 0, 236, 0, 1, 12, 249
"Total", "-", 211, 15, 4348, 67, 108, 493, 5242
