"filename", "language", "JavaScript", "TypeScript", "Vue", "XML", "JSON", "JSON with Comments", "Markdown", "HTML", "Python", "pip requirements", "Properties", "comment", "blank", "total"
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\components\options\SubjectInfoDialog.vue", "Vue", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\components\statistics\Block.vue", "Vue", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\components\statistics\FailedStudent.vue", "Vue", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 78
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\components\statistics\FailedStudents.vue", "Vue", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 83
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\components\statistics\Student.vue", "Vue", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\components\statistics\Subject.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\components\statistics\SuccessfulStudents.vue", "Vue", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 82
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\main.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 20
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\quasar-user-options.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\router\index.ts", "TypeScript", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 159
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\store\index.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 75
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\auth\LoginView.vue", "Vue", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 87
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\auth\LogoutView.vue", "Vue", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\dashboard\HomeView.vue", "Vue", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\dashboard\TeacherDashboardView.vue", "Vue", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 318
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\error\PermissionDeniedView.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\error\ResourceNotFound.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\error\ServerErrorView.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\gen\GeneratorTestView.vue", "Vue", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 103
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\gen\GeneratorView.vue", "Vue", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 115
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\AvailableOptionsView.vue", "Vue", 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 12, 40, 330
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\ChoicesView.vue", "Vue", 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 16, 33, 353
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\RoomEditView.vue", "Vue", 0, 0, 466, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28, 508
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\RoomJoinView.vue", "Vue", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 124
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\RuleEditorView.vue", "Vue", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 212
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\StudentAccessView.vue", "Vue", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 138
"c:\Users\User\Documents\Projects\Option blocks\website\client\src\views\room\StudentsView.vue", "Vue", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 249
"c:\Users\User\Documents\Projects\Option blocks\website\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 1, 42
"c:\Users\User\Documents\Projects\Option blocks\website\client\vue.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
